,Mkt-RF,SMB,HML,RMW,CMA,intercept
2011-12-01,0.2734644515304073,0.1831295369275426,0.21895236129344206,0.062296583125255156,-0.011979216086945244,0.2308679805908065
2012-01-01,0.2743640938251303,0.1798056439152518,0.2154413113917746,0.0625934336155639,-0.00490603218126084,0.22706908105744245
2012-02-01,0.2758556040784207,0.18416705902149552,0.20615707816961526,0.06436512892280812,-0.018385384660934458,0.24085692516411633
2012-03-01,0.27578662716236746,0.18423897072439588,0.20632147837006298,0.0643741017502326,-0.01851462121069315,0.24052112748745424
2012-04-01,0.28156190161525363,0.17988980205150193,0.20652551486305393,0.06443358735413497,-0.02826336515425589,0.22066450899865947
2012-05-01,0.28329028839752257,0.1820326449191949,0.1977686287042506,0.06642036351312693,-0.04226178496681815,0.2099448347665372
2012-06-01,0.2859543411015011,0.1889936968170403,0.19775451368847424,0.0729384554212714,-0.03613219300165867,0.221336337672718
2012-07-01,0.28615380665605966,0.1880869408076639,0.1989802644136299,0.07374016266321907,-0.03840808026793586,0.21911875778523737
2012-08-01,0.2838763282728611,0.19184138445426974,0.20229100535951403,0.058278013972599116,-0.031172947128848688,0.21435790265194077
2012-09-01,0.32514073438328567,0.15874004536433178,0.10627923899393982,0.02380386919888975,0.026702276096415043,0.32189471340949344
2012-10-01,0.3264492617974052,0.17096552553072109,0.09596310465249357,0.004555556096232053,0.04409076650551548,0.36470725297792095
2012-11-01,0.3300507994033545,0.1710626045475967,0.10241844228556085,0.005212287115688829,0.05512890355620359,0.34693454850625155
2012-12-01,0.33275512937649515,0.16009696848468802,0.09073897445745342,0.007277785924783356,0.05760955829031654,0.36796398739974684
2013-01-01,0.33416276185138866,0.16080750281465894,0.10160904168443305,0.009752869773306383,0.05819019613165032,0.3715539043935947
2013-02-01,0.3571887604195372,0.12375524650518567,0.09738535560455266,-0.0012622509410389615,0.0819843514771211,0.40430706483144496
2013-03-01,0.36741133674142246,0.13919215473329644,0.09753974714930085,0.008377251796681919,0.06993630253166892,0.37162130136245497
2013-04-01,0.36603785779253434,0.14010804298861673,0.0970105398579727,0.007548931299505416,0.07263752052697175,0.3648756815493169
2013-05-01,0.36602777160904704,0.1401480895024657,0.0971380835583997,0.007761522147862291,0.07296895290524034,0.36425674657211954
2013-06-01,0.35974732942955423,0.1359806102554791,0.10124777884020802,0.00906640525939261,0.07384995288061656,0.33801823560560734
2013-07-01,0.36200391604517823,0.12003660310072792,0.09743020153572778,0.005828219544849317,0.09156692568249125,0.35393765442382064
2013-08-01,0.3565378747672401,0.12013948023955917,0.0957570492607549,4.598610710339638e-05,0.09530782295767455,0.3702064577657156
2013-09-01,0.35749843033038675,0.11711451033201595,0.09575865686917322,-0.0005772625532766779,0.09613863045535714,0.37245948222109476
2013-10-01,0.3515847688441894,0.1293197472364838,0.10465399831193545,0.00663551187465586,0.07894456636762262,0.35581082407666104
2013-11-01,0.361649931121516,0.10262949781702851,0.12166420272425849,0.016905736832971995,0.07015170020158909,0.3670092492528814
2013-12-01,0.3703391209212211,0.0871546589145319,0.1180532721355935,0.03328782017817772,0.0832532931039426,0.3614625059746767
2014-01-01,0.3703761528870675,0.08195926923091355,0.12043715883140332,0.03387477038205104,0.08456562645578244,0.35295314952655277
2014-02-01,0.36767324777744437,0.09099815051452471,0.131651094534911,0.01237668854473705,0.08026446723219577,0.3880041576702725
2014-03-01,0.36556056523825087,0.09223028051358183,0.13187610237353226,0.013345774825627611,0.07900379215661117,0.3833374868509664
2014-04-01,0.3663917642271191,0.09771952107251852,0.11732702602005507,0.01479111411738926,0.07131265563204953,0.4088372900285862
2014-05-01,0.364806948602245,0.0993563884203411,0.11841159141247874,0.017498973589234124,0.07472259857384372,0.41144751343639485
2014-06-01,0.3646787779102353,0.09671152262105946,0.11683187855018692,0.014690253196022473,0.07745909674210825,0.4157341113965053
2014-07-01,0.3588289493442564,0.11038404522353203,0.11592966874454158,0.004552040356784213,0.07209223335112451,0.4438282072010493
