,ols,ridge,lasso,elastic_net,ridge_cv
Mkt-RF,0.3461884876070883,0.34600393798652584,0.3441456275867036,0.3176025692412183,0.34190060651108084
SMB,0.13275671850327544,0.13256813818358237,0.11431949421834964,0.041475629351417874,0.1285161970645096
HML,0.1322535069140921,0.13191281154728937,0.10193001646593385,0.0,0.12476303220850049
RMW,-0.00581100635309906,-0.00588427142489693,-0.0,-0.0,-0.00736539069249762
CMA,0.07732513021909479,0.07708813170205207,0.0399778389353943,0.0,0.07220067770279945
