,Mean,Std Dev,Skewness,Kurtosis,Max,Min
Mkt-RF,0.5874731182795699,4.4749228659355875,-0.4978125039255181,1.7139339511813119,16.1,-23.19
SMB,0.177741935483871,3.031719571768808,0.36202018728083496,3.0758420179175956,18.46,-15.54
HML,0.28165322580645163,2.9724570697777875,0.09927423911883855,2.219467601428297,12.86,-13.83
RMW,0.2734274193548387,2.218371827879705,-0.31613969902354067,11.253547207662992,13.05,-18.95
CMA,0.24983870967741933,2.0604855040277346,0.27454756654262363,1.4104279013981658,9.01,-7.08
RF,0.3636424731182796,0.26252123902502084,0.6587958301573703,0.7696444277240428,1.35,0.0
Fund,0.09872757356560752,0.353963930129242,-0.2541665619308787,0.729610339602834,1.2299495576277222,-1.463161150975294
