,Mkt-RF,SMB,HML,RMW,CMA,intercept
1965-06-01,0.07454105864546828,-0.004595767775559544,0.04069700910588507,0.058296065703127474,0.046680468322047815,-0.014332951638599406
1965-07-01,0.07291297690462421,-0.00116482625220215,0.052021448092725166,0.0357928349146983,0.028649733434713182,-0.006572381632702906
1965-08-01,0.07316839890767043,0.0019255061334672605,0.050224703805641695,0.04127554576555302,0.03028287175093536,-0.0039699802545691
1965-09-01,0.08124537931282295,0.0006222029502782476,0.03692518940441228,0.027839384657735958,0.038011265767399854,0.0032980220010558337
1965-10-01,0.08376586429637625,-0.006433342376058983,0.030131516602846947,0.02075376591410926,0.04289190501224434,0.0007803860335306723
1965-11-01,0.07747770973454804,0.009389408103621051,0.029360445698569448,0.00496312929084065,0.029940530000816062,0.011652252800324073
1965-12-01,0.0809793847808499,0.004475356259673888,0.016838185296158218,0.01991401852640334,0.04764982619863486,0.006512930447217763
1966-01-01,0.0793891001660636,0.007474122183929646,0.02123740093802669,0.012704772721586148,0.041724758908452945,0.006978994529698135
1966-02-01,0.07672954692931921,0.010505122499677815,0.022124417155608228,0.014310683899954822,0.039214023417977285,0.009316003496151942
1966-03-01,0.0725412715509801,0.012893373528277179,0.01647461971695705,0.02135646065069137,0.0444912746118578,0.02043269522319105
1966-04-01,0.0749827494435055,0.01736083974512131,0.011044394361192379,0.0215976192818727,0.044732751015463416,0.024654073922370956
1966-05-01,0.07852122451570426,0.019738223407936597,0.008407359272480543,0.018698929357598263,0.048563133516470076,0.019476748019301077
1966-06-01,0.07999545225057719,0.018560704596640124,0.008043793821447976,0.016574884223285614,0.04620716259300095,0.016997274777407943
1966-07-01,0.08145286416730217,0.018945924747324115,0.008504282417141565,0.01577107816432978,0.04377807525788771,0.010118755833329551
1966-08-01,0.0721515085047495,0.024914502641606252,0.005265123826339143,0.015735221449016897,0.04781867263262596,0.005915175081594115
1966-09-01,0.07264966452468348,0.025779523551564907,0.007592267964411052,0.02128164820804372,0.04956113637397904,-0.00019913834679893133
1966-10-01,0.06410307520380361,0.03945270716733993,-0.007671867256310835,0.0011531057512315097,0.06506146978796895,-0.016175637692975205
1966-11-01,0.0689321688878956,0.035884761092878185,-0.01167805438325777,0.013115944501364184,0.04175906644026977,0.0033362532099880868
1966-12-01,0.07119326012591673,0.03380783034857654,-0.015034840811757969,0.011320519414153225,0.04088103899967978,0.011854185612068989
1967-01-01,0.06779634174269096,0.03285594777256535,-0.023593866127654274,0.00164684141012187,0.041634358988897564,0.009334720945211386
1967-02-01,0.06816764384416915,0.03410118395639386,-0.025568617261903237,0.005583612737842504,0.04558675060876462,0.013708099389502189
1967-03-01,0.07086091857950254,0.02994279458650909,-0.02713909757045761,0.0048955164030461,0.035185335795212144,0.01393124029119757
