model,train_r2,test_r2,rmse,mae,residual_volatility,information_coefficient,notes
ols,0.7964547975748311,0.8244594010290117,0.7912069923659671,0.6105672403807186,0.7477459870267102,0.9212559044178938,Baseline factor model
ridge,0.7964542729823358,0.8243973710473933,0.7913467726235829,0.6108291391971066,0.7478124987091573,0.9212559044178938,Regularized factor model
lasso,0.793105075864242,0.8242005513794994,0.7917901287154725,0.6181965342175401,0.7456896174457671,0.9260350097249237,Sparse factor selection
elastic_net,0.7427310920659406,0.7778606135488026,0.8900494020907661,0.6934037864347983,0.8313813775822009,0.9261461517088081,Mixed L1/L2 regularization
ridge_cv,0.7961878087648686,0.8227431103131526,0.7950654676834514,0.6165762242996736,0.7499762087314769,0.9236454570714089,Ridge with time-series cross-validation
rolling_ridge,0.7363453496547572,0.8221295667897695,0.7964402686388219,0.6140611706545923,0.8028704834286801,0.9099749930536263,Time-varying factor exposure
expanding_ridge,0.758309095840282,0.8303714352928215,0.7777693460577401,0.5884593128494922,0.759590958802294,0.9207557654904143,Expanding-window factor exposure
